"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"A2M","OK","uninormal",1.33431291078635e-38,2.09353695702379e-35,"A2M",695,TRUE
"ACTB","OK","uninormal",3.5178274253785e-12,9.19911871736478e-10,"ACTB",894,FALSE
"ARPC1B","OK","uninormal",8.44442940813182e-08,1.10410914511324e-05,"ARPC1B",243,FALSE
"B2M","OK","uninormal",8.37765669061054e-11,1.97168150213519e-08,"B2M",895,TRUE
"CES1","OK","uninormal",1.30627198809162e-07,1.6617897967425e-05,"CES1",408,FALSE
"CFL1","OK","uninormal",8.76700576135601e-09,1.42297572823113e-06,"CFL1",625,FALSE
"CKAP4","OK","uninormal",5.86684719533726e-07,5.63576525478622e-05,"CKAP4",150,FALSE
"CTGF","OK","uninormal",2.6948285502884e-32,3.17113949655188e-29,"CTGF",478,FALSE
"CYR61","OK","uninormal",4.02680182431304e-32,3.7908312374083e-29,"CYR61",581,FALSE
"DCN","OK","uninormal",5.58890803735482e-08,7.97181519146337e-06,"DCN",913,FALSE
"DUSP1","OK","uninormal",3.27095594957113e-28,1.92454870682892e-25,"DUSP1",725,TRUE
"DUSP6","OK","uninormal",4.90634745718083e-10,1.04973534004319e-07,"DUSP6",123,FALSE
"ENO1","OK","uninormal",8.37712081724734e-08,1.10410914511324e-05,"ENO1",406,TRUE
"FBLN1","OK","uninormal",1.93569304083043e-14,6.07420476212588e-12,"FBLN1",734,FALSE
"FHL1","OK","uninormal",1.53739204563716e-15,5.16893168486723e-13,"FHL1",568,TRUE
"FIBIN","OK","uninormal",2.17245515159728e-14,6.39109149910524e-12,"FIBIN",316,FALSE
"FMO2","OK","uninormal",8.02498439249619e-10,1.64233050154259e-07,"FMO2",454,TRUE
"FOS","OK","uninormal",3.80335563757122e-22,1.49186624883731e-19,"FOS",716,FALSE
"FTL","OK","uninormal",3.89557432544818e-09,6.79128457403133e-07,"FTL",890,FALSE
"GNG5","OK","uninormal",1.85055656794721e-07,2.07394518222084e-05,"GNG5",368,FALSE
"GPC3","OK","uninormal",1.60967086759963e-09,3.03068830951659e-07,"GPC3",453,TRUE
"GPX3","OK","uninormal",1.32806860413411e-10,2.97677091412346e-08,"GPX3",642,FALSE
"HSD17B10","OK","uninormal",1.75544755371475e-07,2.01533942325252e-05,"HSD17B10",142,TRUE
"INMT","OK","uninormal",8.23967058925676e-07,7.60473126737874e-05,"INMT",350,TRUE
"JUNB","OK","uninormal",1.57470337551619e-08,2.4707095961849e-06,"JUNB",691,FALSE
"KDELR2","OK","uninormal",4.04796313221377e-07,3.96953384652713e-05,"KDELR2",374,FALSE
"LUM","OK","uninormal",3.8613401107175e-28,2.01948087790525e-25,"LUM",774,TRUE
"MANF","OK","uninormal",7.98535083297851e-07,7.51740927416597e-05,"MANF",176,TRUE
"MFAP4","OK","uninormal",1.03490309486364e-39,2.43564443376158e-36,"MFAP4",698,TRUE
"NDUFS5","OK","uninormal",7.23815031828595e-09,1.21678476957757e-06,"NDUFS5",485,FALSE
"NME1","OK","uninormal",9.13667389890267e-07,8.27044693117978e-05,"NME1",152,TRUE
"NNMT","OK","uninormal",1.96097059969552e-08,2.97751245573123e-06,"NNMT",536,FALSE
"NPNT","OK","uninormal",3.14547955799761e-09,5.69452779980568e-07,"NPNT",161,TRUE
"P4HB","OK","uninormal",3.3298273363e-08,4.89796789748879e-06,"P4HB",428,TRUE
"PFN1","OK","uninormal",2.21233689653555e-07,2.36669767545292e-05,"PFN1",547,FALSE
"PTGDS","OK","uninormal",6.58529284528146e-31,5.16616223712331e-28,"PTGDS",539,TRUE
"RARRES2","OK","uninormal",3.74396645381518e-44,1.7622850098108e-40,"RARRES2",692,TRUE
"RGCC","OK","uninormal",1.96495000013854e-30,1.32128852152173e-27,"RGCC",544,TRUE
"RGS3","OK","uninormal",4.02261071728747e-07,3.96953384652713e-05,"RGS3",113,FALSE
"RPL4","OK","uninormal",1.57029304666144e-07,1.89522291554754e-05,"RPL4",666,FALSE
"RPS11","OK","uninormal",1.39531240307519e-07,1.72835144244077e-05,"RPS11",736,FALSE
"RPS16","OK","uninormal",1.61827218014396e-07,1.90430178798441e-05,"RPS16",790,FALSE
"RPS24","OK","uninormal",1.08003254274767e-09,2.11821382446388e-07,"RPS24",828,FALSE
"SERPING1","OK","uninormal",2.90724106855358e-13,8.04963747628336e-11,"SERPING1",751,FALSE
"SOD3","OK","uninormal",9.93422693363502e-07,8.82271814653209e-05,"SOD3",519,TRUE
"SPARCL1","OK","uninormal",8.37418599819196e-08,1.10410914511324e-05,"SPARCL1",772,FALSE
"SRM","OK","uninormal",1.03796320115071e-06,9.04757923669706e-05,"SRM",201,FALSE
"TCF21","OK","uninormal",9.20734970900697e-12,2.2809997410682e-09,"TCF21",382,FALSE
"TIMP3","OK","uninormal",1.43578823265743e-16,5.19865785470655e-14,"TIMP3",746,TRUE
"TMSB4X","OK","uninormal",6.35445907110795e-25,2.99104388477051e-22,"TMSB4X",866,TRUE
"TPM2","OK","uninormal",3.38227282460301e-07,3.46094743161008e-05,"TPM2",491,FALSE
"YBX1","OK","uninormal",2.00335732915202e-07,2.19297742984153e-05,"YBX1",645,FALSE
"ZDHHC14","OK","uninormal",2.41179071554555e-07,2.52273308846064e-05,"ZDHHC14",53,FALSE
"ZFP36","OK","uninormal",1.02216622886729e-22,4.37394221752575e-20,"ZFP36",659,FALSE
